lat,lng,el
50.94592,127.009202,333
50.907977,126.953732,322
50.827596,126.502872,515
50.834976,126.843591,379
50.799817,126.901467,422
50.756717,126.506763,457
50.713907,126.225754,426
50.682062,126.398004,492
50.695632,127.074291,338
50.639523,126.116922,457
50.604981,126.175448,500
50.615159,126.626556,425
50.621958,127.07892,328
50.56781,125.880704,362
50.580052,126.684842,445
50.586025,127.02394,325
50.551553,127.080802,315
50.510612,126.802368,316
50.428999,126.243209,552
50.433693,126.57994,390
50.444542,127.142957,214
50.389455,125.812191,485
50.352169,126.134459,582
50.355593,126.246619,530
50.366074,126.80956,431
50.324962,126.528859,390
50.327776,126.64164,400
50.335921,127.090851,230
50.292449,126.699068,550
50.245734,125.802467,547
50.242667,125.917633,475
50.254838,126.646658,480
50.257953,126.757911,595
50.259323,126.869856,472
50.21386,126.367946,525
50.179613,125.577622,415
50.171493,125.912723,470
50.195409,127.320473,301
50.14091,126.261778,560
50.101859,126.20517,538
50.107077,126.429342,628
50.113813,126.763442,444
50.120252,127.099636,346
50.122207,127.211767,353
50.074946,125.292796,335
50.061718,126.040279,478
50.067163,126.262021,500
50.0269,126.097818,515
50.039775,126.655136,488
50.003459,125.400783,395
49.993014,125.846885,390
49.997651,126.379343,583
49.958649,126.213764,527
49.976113,127.104605,356
49.936124,126.827962,439
49.901092,126.886165,461
49.861949,125.281526,380
49.849435,126.163003,505
49.859621,126.608374,540
49.864092,126.83117,520
49.828767,126.889943,474
49.791924,126.834365,498
49.799228,127.278808,308
49.752567,127.000557,557
49.725972,127.17232,328
49.728337,127.279484,358
49.690879,127.22799,336
49.631015,126.065971,440
49.63389,126.177207,430
49.645983,126.729738,454
49.657203,127.394381,223
49.572057,126.622802,510
49.581879,127.175203,354
49.487278,125.927534,240
49.495205,126.40603,485
49.510429,127.178031,338
49.463829,126.683368,565
49.476705,127.345145,255
49.421387,126.299914,500
49.434342,126.959168,403
49.432974,127.076704,385
49.385381,126.35664,560
49.410221,127.788629,235
49.350231,126.308716,560
49.360514,126.746567,550
49.258602,127.24277,337
49.262278,127.461648,370
49.267486,127.901821,224
49.207719,126.42223,420
49.212473,126.640388,460
49.235947,128.506437,216
